simulation name,dist_query_ref1,dist_query_ref2,dist_ref1_ref2,query,ref1,ref2,abs_dist_query_ref1,abs_dist_query_ref2,abs_dist_ref1_ref2,trial_type,Comment
regular,8,-8,-16,38,30.00,46.00,8,8,16,query_central,main
regular,8,-8,-16,78,70.00,86.00,8,8,16,query_central,main
regular,8,-8,-16,102,94.00,110.00,8,8,16,query_central,main
regular,16,-16,-32,46,30.00,62.00,16,16,32,query_central,main
regular,16,-16,-32,78,62.00,94.00,16,16,32,query_central,main
regular,16,-16,-32,94,78.00,110.00,16,16,32,query_central,main
regular,24,-24,-48,54,30.00,78.00,24,24,48,query_central,main
regular,24,-24,-48,78,54.00,102.00,24,24,48,query_central,main
regular,24,-24,-48,86,62.00,110.00,24,24,48,query_central,main
regular,8,-16,-24,38,30.00,54.00,8,16,24,query_central,main
regular,8,-16,-24,78,70.00,94.00,8,16,24,query_central,main
regular,8,-16,-24,94,86.00,110.00,8,16,24,query_central,main
regular,16,-8,-24,46,30.00,54.00,16,8,24,query_central,main
regular,16,-8,-24,78,62.00,86.00,16,8,24,query_central,main
regular,16,-8,-24,102,86.00,110.00,16,8,24,query_central,main
regular,16,-24,-40,46,30.00,70.00,16,24,40,query_central,main
regular,16,-24,-40,78,62.00,102.00,16,24,40,query_central,main
regular,16,-24,-40,86,70.00,110.00,16,24,40,query_central,main
regular,24,-16,-40,54,30.00,70.00,24,16,40,query_central,main
regular,24,-16,-40,78,54.00,94.00,24,16,40,query_central,main
regular,24,-16,-40,96,72.00,112.00,24,16,40,query_central,main
regular,8,-24,-32,38,30.00,62.00,8,24,32,query_central,main
regular,8,-24,-32,78,70.00,102.00,8,24,32,query_central,main
regular,8,-24,-32,86,78.00,110.00,8,24,32,query_central,main
regular,24,-8,-32,54,30.00,62.00,24,8,32,query_central,main
regular,24,-8,-32,78,54.00,86.00,24,8,32,query_central,main
regular,24,-8,-32,102,78.00,110.00,24,8,32,query_central,main
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
