simulation name,dist_query_ref1,dist_query_ref2,dist_ref1_ref2,query,ref1,ref2,abs_dist_query_ref1,abs_dist_query_ref2,abs_dist_ref1_ref2,trial_type,Comment,query_img_idx,ref1_img_idx,ref2_img_idx
regular,8,-8,-16,46,38.00,54.00,8,8,16,query_central,main,45,37,53
regular,8,-8,-16,78,70.00,86.00,8,8,16,query_central,main,77,69,85
regular,8,-8,-16,112,104.00,120.00,8,8,16,query_central,main,111,103,119
regular,16,-16,-32,46,30.00,62.00,16,16,32,query_central,main,45,29,61
regular,16,-16,-32,78,62.00,94.00,16,16,32,query_central,main,77,61,93
regular,16,-16,-32,104,88.00,120.00,16,16,32,query_central,main,103,87,119
regular,24,-24,-48,54,30.00,78.00,24,24,48,query_central,main,53,29,77
regular,24,-24,-48,78,54.00,102.00,24,24,48,query_central,main,77,53,101
regular,24,-24,-48,94,70.00,118.00,24,24,48,query_central,main,93,69,117
regular,8,-16,-24,38,30.00,54.00,8,16,24,query_central,main,37,29,53
regular,8,-16,-24,78,70.00,94.00,8,16,24,query_central,main,77,69,93
regular,8,-16,-24,104,96.00,120.00,8,16,24,query_central,main,103,95,119
regular,16,-8,-24,46,30.00,54.00,16,8,24,query_central,main,45,29,53
regular,16,-8,-24,78,62.00,86.00,16,8,24,query_central,main,77,61,85
regular,16,-8,-24,112,96.00,120.00,16,8,24,query_central,main,111,95,119
regular,16,-24,-40,46,30.00,70.00,16,24,40,query_central,main,45,29,69
regular,16,-24,-40,78,62.00,102.00,16,24,40,query_central,main,77,61,101
regular,16,-24,-40,96,80.00,120.00,16,24,40,query_central,main,95,79,119
regular,24,-16,-40,54,30.00,70.00,24,16,40,query_central,main,53,29,69
regular,24,-16,-40,78,54.00,94.00,24,16,40,query_central,main,77,53,93
regular,24,-16,-40,104,80.00,120.00,24,16,40,query_central,main,103,79,119
regular,8,-24,-32,38,30.00,62.00,8,24,32,query_central,main,37,29,61
regular,8,-24,-32,78,70.00,102.00,8,24,32,query_central,main,77,69,101
regular,8,-24,-32,96,88.00,120.00,8,24,32,query_central,main,95,87,119
regular,24,-8,-32,54,30.00,62.00,24,8,32,query_central,main,53,29,61
regular,24,-8,-32,78,54.00,86.00,24,8,32,query_central,main,77,53,85
regular,24,-8,-32,112,88.00,120.00,24,8,32,query_central,main,111,87,119
balancing,8,-78,-86,38,30,116,8,78,86,query_central,main,37,29,115
balancing,8,-78,-86,38,30,116,8,78,86,query_central,main,37,29,115
balancing,8,-78,-86,38,30,116,8,78,86,query_central,main,37,29,115
balancing,8,-78,-86,38,30,116,8,78,86,query_central,main,37,29,115
balancing,16,-46,-62,62,46,108,16,46,62,query_central,main,61,45,107
balancing,16,-46,-62,62,46,108,16,46,62,query_central,main,61,45,107
balancing,8,-24,-32,46,38,70,8,24,32,query_central,main,45,37,69
balancing,8,-24,-32,46,38,70,8,24,32,query_central,main,45,37,69
balancing,-12,16,28,108,120,92,12,16,28,query_central,main,107,119,91
balancing,-12,16,28,108,120,92,12,16,28,query_central,main,107,119,91
balancing,10,-8,-18,110,100,118,10,8,18,query_central,main,109,99,117
balancing,16,-14,-30,100,84,114,16,14,30,query_central,main,99,83,113
balancing,10,-8,-18,98,88,106,10,8,18,query_central,main,97,87,105
balancing,10,-8,-18,98,88,106,10,8,18,query_central,practice,97,87,105
balancing,16,-20,-36,100,84,120,16,20,36,query_central,practice,99,83,119
balancing,26,-10,-36,110,84,120,26,10,36,query_central,practice,109,83,119
balancing,16,-24,-40,46,30,70,16,24,40,query_central,practice,45,29,69
balancing,-8,32,40,62,70,30,8,32,40,query_central,practice,61,69,29
balancing,-16,8,24,46,62,38,16,8,24,query_central,practice,45,61,37
balancing,-8,16,24,54,62,38,8,16,24,query_central,practice,53,61,37
balancing,16,-44,-60,46,30,90,16,44,60,query_central,practice,45,29,89
balancing,24,-66,-90,54,30,120,24,66,90,query_central,practice,53,29,119
balancing,-8,20,28,112,120,92,8,20,28,query_central,practice,111,119,91
balancing,40,-14,-54,70,30,84,40,14,54,query_central,practice,69,29,83
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
