prolific_id,payment
sub_01,1.56
sub_02,1.18
sub_03,1.29
sub_04,1.36
sub_05,1.41
sub_06,1.4
sub_07,1.38
sub_08,1.19
sub_09,0.97
sub_10,1.19
sub_11,1.45
sub_12,1.34
sub_13,1.41
sub_14,0.98
sub_15,1.34
sub_16,1.34
sub_17,1.28
sub_18,1.39
sub_19,1.07
sub_20,1.41
sub_21,1.13
sub_22,1.3
sub_23,1.17
sub_24,1.38
sub_25,1.34
sub_26,1.3
sub_27,1.01
sub_28,1.38
sub_29,1.11
sub_30,1.03
sub_31,1.19
sub_32,1.54
sub_33,1.51
sub_34,1.37
sub_35,1.53
sub_36,1.31
sub_37,1.3
sub_38,1.4
sub_39,1.33
sub_40,1.18
sub_41,1.25
sub_42,1.41
sub_43,0.92
sub_44,1.54
sub_45,1.47
sub_46,0.89
sub_47,1.37
sub_48,1.3
sub_49,1.44
sub_50,1.42
sub_51,1.14
sub_52,1.33
sub_53,1.15
sub_54,1.31
sub_55,1.37
sub_56,1.33
sub_57,1.55
