anonymous_id,which_experiment,consented,data_submitted,excluded_at_preprocessing,exclusion_reason,prolific_status
sub001,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub002,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub003,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub004,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub005,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub006,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub007,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub008,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub009,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub010,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub011,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub012,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub013,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub014,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub015,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub016,pilot_1,TRUE,TRUE,FALSE,,APPROVED
sub017,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub018,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub019,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub020,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub021,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub022,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub023,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub024,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub025,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub026,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub027,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub028,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub029,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub030,pilot_2,TRUE,TRUE,FALSE,,APPROVED
sub031,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub032,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub033,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub034,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub035,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub036,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub037,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub038,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub039,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub040,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub041,pilot_3,TRUE,FALSE,TRUE,no_data_submitted,RETURNED
sub042,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub043,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub044,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub045,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub046,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub047,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub048,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub049,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub050,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub051,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub052,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub053,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub054,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub055,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub056,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub057,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub058,pilot_3,TRUE,FALSE,TRUE,no_data_submitted,RETURNED
sub059,pilot_3,TRUE,TRUE,FALSE,,APPROVED
sub060,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub061,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub062,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub063,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub064,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub065,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub066,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub067,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub068,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub069,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub070,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub071,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub072,experiment_1,TRUE,FALSE,TRUE,no_data_submitted,RETURNED
sub073,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub074,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub075,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub076,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub077,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub078,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub079,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub080,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub081,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub082,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub083,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub084,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub085,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub086,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub087,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub088,experiment_1,TRUE,FALSE,TRUE,no_data_submitted,NA
sub089,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub090,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub091,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub092,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub093,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub094,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub095,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub096,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub097,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub098,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub099,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub100,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub101,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub102,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub103,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub104,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub105,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub106,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub107,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub108,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub109,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub110,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub111,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub112,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub113,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub114,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub115,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub116,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub117,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub118,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub119,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub120,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub121,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub122,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub123,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub124,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub125,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub126,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub127,experiment_1,TRUE,TRUE,FALSE,,REJECTED
sub128,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub129,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub130,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub131,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub132,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub133,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub134,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub135,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub136,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub137,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub138,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub139,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub140,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub141,experiment_1,TRUE,FALSE,TRUE,no_data_submitted,RETURNED
sub142,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub143,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub144,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub145,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub146,experiment_1,TRUE,TRUE,FALSE,,APPROVED
sub147,experiment_1,TRUE,TRUE,FALSE,,APPROVED
