prolific_id,rt,response,test_part,trial_type,trial_index,time_elapsed,internal_node_id,view_history
sub_58,7624.9000000003725,{'Q0': 'nope'},break,survey-text,0,7632,0.0-0.0,
sub_58,8036.200000000186,{'Q0': 'nope\n'},break,survey-text,0,8042,0.0-0.0,
sub_58,28928.0,{'Q0': 'nope'},break,survey-text,0,28937,0.0-0.0,
sub_58,5757.700000000186,,,instructions,1,34696,0.0-1.0,"[{'page_index': 0, 'viewing_time': 2324.600000000559}, {'page_index': 1, 'viewing_time': 3432}]"
sub_58,14829.399999999441,{'Q0': 'no'},break,survey-text,0,14837,0.0-0.0,
sub_58,15628.900000000373,{'Q0': 'no\n'},break,survey-text,0,15635,0.0-0.0,
sub_58,9262.299999999814,{'Q0': 'no'},break,survey-text,0,9268,0.0-0.0,
sub_58,6169.300000000745,{'Q0': 'no'},break,survey-text,0,6175,0.0-0.0,
sub_58,7831.399999999441,{'Q0': 'no'},break,survey-text,0,7839,0.0-0.0,
sub_58,4277.799999999814,{'Q0': 'no'},break,survey-text,0,4288,0.0-0.0,
sub_58,5137.399999999441,{'Q0': 'no\n'},break,survey-text,0,5144,0.0-0.0,
sub_59,8618.599999999627,{'Q0': 'No'},break,survey-text,0,8625,0.0-0.0,
sub_59,12527.399999999441,{'Q0': 'No'},break,survey-text,0,12533,0.0-0.0,
sub_59,28700.400000000373,{'Q0': 'No'},break,survey-text,0,28722,0.0-0.0,
sub_59,12876.099999999627,,,instructions,1,41601,0.0-1.0,"[{'page_index': 0, 'viewing_time': 2739.2000000001863}, {'page_index': 1, 'viewing_time': 10135.399999999441}]"
sub_59,13527.299999999814,{'Q0': ''},break,survey-text,0,13532,0.0-0.0,
sub_59,12049.900000000373,{'Q0': ''},break,survey-text,0,12055,0.0-0.0,
sub_59,21120.89999999944,{'Q0': ''},break,survey-text,0,21124,0.0-0.0,
sub_59,23879.099999999627,{'Q0': ''},break,survey-text,0,23884,0.0-0.0,
sub_59,29926.099999999627,{'Q0': ''},break,survey-text,0,29931,0.0-0.0,
sub_59,9015.399999999441,{'Q0': ''},break,survey-text,0,9020,0.0-0.0,
sub_59,3921.800000000745,{'Q0': ''},break,survey-text,0,3927,0.0-0.0,
sub_60,107605.29999995232,{'Q0': 'no difficulties'},break,survey-text,0,107610,0.0-0.0,
sub_60,14066.399999976158,{'Q0': 'No difficulties!'},break,survey-text,0,14070,0.0-0.0,
sub_60,67261.89999997616,{'Q0': 'No difficulties.'},break,survey-text,0,67271,0.0-0.0,
sub_60,154133.79999995232,,,instructions,1,221405,0.0-1.0,"[{'page_index': 0, 'viewing_time': 22701.899999976158}, {'page_index': 1, 'viewing_time': 15575.600000023842}, {'page_index': 0, 'viewing_time': 4536.099999904633}, {'page_index': 1, 'viewing_time': 111319.20000004768}]"
sub_60,50506.39999997616,{'Q0': 'no difficulties'},break,survey-text,0,50510,0.0-0.0,
sub_60,63977.60000002384,{'Q0': 'No difficulties'},break,survey-text,0,63981,0.0-0.0,
sub_60,48927.799999952316,{'Q0': 'No difficulties!'},break,survey-text,0,48941,0.0-0.0,
sub_60,85142.39999997616,{'Q0': 'No difficulties'},break,survey-text,0,85146,0.0-0.0,
sub_60,12848.5,{'Q0': 'No difficulties'},break,survey-text,0,12857,0.0-0.0,
sub_60,7872.200000047684,{'Q0': 'No difficulties'},break,survey-text,0,7876,0.0-0.0,
sub_60,5842.699999928474,{'Q0': 'No difficulties'},break,survey-text,0,5848,0.0-0.0,
sub_61,31991.40000000596,{'Q0': 'no..'},break,survey-text,0,32010,0.0-0.0,
sub_61,20915.5,{'Q0': 'no..'},break,survey-text,0,20930,0.0-0.0,
sub_61,56648.10000000894,{'Q0': 'no..'},break,survey-text,0,56679,0.0-0.0,
sub_61,31268.89999999106,,,instructions,1,87950,0.0-1.0,"[{'page_index': 0, 'viewing_time': 16297.89999999106}, {'page_index': 1, 'viewing_time': 14968}]"
sub_61,16374.0,{'Q0': 'no..'},break,survey-text,0,16385,0.0-0.0,
sub_61,27806.39999999106,{'Q0': 'no..'},break,survey-text,0,27818,0.0-0.0,
sub_61,6274.5,{'Q0': 'no..'},break,survey-text,0,6290,0.0-0.0,
sub_61,5105.20000000298,{'Q0': 'no..'},break,survey-text,0,5116,0.0-0.0,
sub_61,6155.5999999940395,{'Q0': 'no..'},break,survey-text,0,6170,0.0-0.0,
sub_61,12154.5,{'Q0': 'no..\n'},break,survey-text,0,12172,0.0-0.0,
sub_61,10992.0,{'Q0': 'no..'},break,survey-text,0,11007,0.0-0.0,
