prolific_id,experiment,counterbalancing,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_index,time_elapsed,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,template_abs_distances_rep,triplet_easiness,query_position,curve_type,chosen_ref_value,chosen_ref_lowdim_highdim,chose_towards_sparse,chose_towards_highdim,chosen_ref_numeric,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,triplet_location,density_relative_triplet_name,correct_ref_towards_dense_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,0,0,1277.2999999998137,p,practice,1,3072,1,,,62,30,94,32,-32,-64,32,32,64,62_30_94,30,94,32,-32,-64,32,32,64,62_30_94,32_-32_-64,32_32_64,1,1,1,0,query_middle,concave,94.0,ref_highdim,1,1.0,2,nan,nan,,dense_region,78_46_110,nan
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1249.300000000745,p,practice,2,5591,1,True,p,102,38,110,64,-8,-72,64,8,72,102_38_110,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,1,1,1,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,38_30_102,ref_towards_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,1231.300000000745,q,practice,3,8116,1,True,q,78,110,38,-32,40,72,32,40,72,78_110_38,38,110,40,-32,-72,40,32,72,78_38_110,40_-32_-72,32_40_72,1,1,1,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,62_30_102,ref_towards_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,707.2999999998137,q,practice,4,10637,1,True,q,102,110,30,-8,72,80,8,72,80,102_110_30,30,110,72,-8,-80,72,8,80,102_30_110,72_-8_-80,8_72_80,1,1,1,64,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,38_30_110,ref_towards_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level93F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,914.2999999998137,q,practice,5,13157,1,True,q,94,102,38,-8,56,64,8,56,64,94_102_38,38,102,56,-8,-64,56,8,64,94_38_102,56_-8_-64,8_56_64,1,1,1,48,query_middle,convex,102.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,46_38_102,ref_towards_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,0,0,1515.7000000001863,q,practice,6,15676,1,,,38,30,46,8,-8,-16,8,8,16,38_30_46,30,46,8,-8,-16,8,8,16,38_30_46,8_-8_-16,8_8_16,1,1,1,0,query_middle,concave,30.0,ref_lowdim,0,0.0,1,nan,nan,,dense_region,102_94_110,nan
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1596.0,p,practice,7,18206,1,True,p,102,86,110,16,-8,-24,16,8,24,102_86_110,86,110,16,-8,-24,16,8,24,102_86_110,16_-8_-24,8_16_24,1,1,1,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,38_30_54,ref_towards_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level53F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1000.1000000005588,p,practice,8,20736,1,True,p,38,54,30,-16,8,24,16,8,24,38_54_30,30,54,8,-16,-24,8,16,24,38_30_54,8_-16_-24,8_16_24,1,1,2,8,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,102_86_110,ref_towards_dense
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1096.5999999996275,p,practice,9,23259,1,True,p,102,38,110,64,-8,-72,64,8,72,102_38_110,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,2,2,2,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,38_30_102,ref_towards_sparse
sub_58,1,dense_left,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,0,0,813.9000000003725,q,practice,10,25786,1,True,q,46,30,102,16,-56,-72,16,56,72,46_30_102,30,102,16,-56,-72,16,56,72,46_30_102,16_-56_-72,16_56_72,1,1,1,40,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_left,1.0,dense_region,94_38_110,ref_towards_dense
