prolific_id,Q0,Q1,Q2,Q3,Q4,Q5,Q6
sub_01,No,I chose based on instinct.,No I felt quite rushed.,No,No,Yes I felt I had enough time to make my response.,No
sub_02,no,based on size and degree of shaded part,yes,none,no,yes,none
sub_03,no,by the sharpness of the angles,yes,no,no,yes,no
sub_04,No,I mainly stared at the middle item and used my peripheral vision to make the choice,Yes,No,No,Yes,No
sub_05,No,Based on the shape of the base and shadow of the funnel,Yes,N/A,No,Yes,N/A
sub_06,none,by the point of the shape,yes,none,"point pf shape and shadow, where its placed on the screen",yes,no
sub_07,"No, the instructions were easy to understand.",I initially looked at the shape of the bird and picked which was closest in terms of round or straight lines.,"Yes, the length of time seemed exactly right to respond with instinct.","I really liked that at the end of each task, my competency was displayed.","No, the instructions were easy to understand particularly since it used the same keyboard letters.","Yes, the length of time seemed just right to be able to answer with my gut reaction. ","Again, I liked that my competency was displayed at the end of each trial. I felt that the length of each trial was just right, any longer and I worry I would have become distracted."
sub_08,no,"the border, rounded or straight",yes,very interesting game,no,yes,no
sub_09,no all clearly laid explained,shape,yes,no,no,yes,no
sub_10,How if the left and the right are exactly the same with the target?,Looking at the base,yes,No,No,Yes,No
sub_100,no,i looked at the shape and its shadow,yes,none,the first trial was confusing but after I got hang of it.,yes,none
sub_101,no,looking at the shape,yes plenty,no,no,focus on the 3D shape,no
sub_102,I found the instructions clear,based on if it was triangular and if the side dipped in or pushed out,yes,nothing,instructions were clear,yes,nothing
sub_103,Nothing,I chose which ones looked closest in shape or would need the fewest tweaks to be identical,Mostly yes but could have done with an extra second on each,None,Nothing,Yes,None
sub_104,all fine,"I tried to match them up as closely as I could, with a similar amount of edge curvature.","yes, just about",some of them were quite tricky!,all fine,another second would have been useful.,very tricky!
sub_105,no,looking at their curves,I guess so but more time would have been better,nothing,yes,yes,nothing 
sub_11,no,tried to look at both and see which was most similar in the elements of the shape,yes,no,no,yes,no
sub_12,No it was very clear and well explained,"Based on intuition, it was very hard to differentiate",Completely,"Maybe give a few seconds between the trials, like a countdown prior to the object being displayed","Similar to previous, all was clear and explained well.",Yes,"Maybe give a few seconds between the trials, like a countdown prior to the object being displayed"
