prolific_id,qc_fail_button_sequence,qc_fail_missing_trials,qc_fail_break_duration,qc_fail_rt,qc_fail_manual,qc_fail_overall,pilot_paradigm,counterbalancing,batch_id
sub_58,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,1
sub_59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,1
sub_60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_61,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,dense_right,
sub_62,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,1
sub_63,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,1
sub_64,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,dense_right,
sub_65,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,1
sub_66,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_right,
sub_67,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_right,
sub_68,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,1
sub_69,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,1
sub_70,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,1
sub_71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,dense_left,
sub_74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,1
sub_76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,1
sub_77,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_left,
sub_78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,1
sub_79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_80,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_left,
sub_81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,1
sub_83,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,1
sub_84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,1
sub_85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,2
sub_86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,2
sub_87,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_right,
sub_88,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,2
sub_89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,2
sub_90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,2
sub_91,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,dense_left,
sub_92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,2
sub_93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,2
sub_94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,2
sub_95,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_left,
sub_96,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,2
sub_97,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4,dense_left,
sub_98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,2
sub_99,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,dense_right,
sub_100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,3
sub_101,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,dense_right,
sub_102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,3
sub_103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,3
sub_104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,3
sub_105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,3
sub_106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,3
sub_107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,3
sub_108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,3
sub_109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,3
sub_110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,3
sub_111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,4
sub_112,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,4
sub_113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,4
sub_114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,4
sub_115,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,4
sub_116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,4
sub_117,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,4
sub_118,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,4
sub_119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,4
sub_120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,4
sub_121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_right,
sub_122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_126,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_right,
sub_127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,5
sub_129,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,5
sub_131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,5
sub_132,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,dense_right,
sub_133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,5
sub_134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,6
sub_135,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,4,dense_right,
sub_136,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,6
sub_137,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,6
sub_138,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,6
sub_139,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_right,6
sub_140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,6
sub_141,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,6
sub_142,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,dense_right,
sub_143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,6
sub_144,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,dense_left,6
sub_145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,6
sub_146,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,7
sub_147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_left,7
sub_148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,dense_right,7
