prolific_id,which_experiment,counterbalancing,Q0,Q1,Q2,Q3,Q4,Q5,Q6
sub001,pilot_1,dense_right,"No, everything was clear.",Angle of corners and curve of the walls,"99% yes, but there were few moments when I felt like I rushed",none,"In my first trial, even though I understand instructions, it was hard to follow them so my accuracy was low.","No, I felt rushed quite a bit in this task",Give us a message if the response was registered or not. Few times I clicked at the very last moment and didn't know if it counted my response or not.
sub002,pilot_1,dense_left,no,based on initial visual perception,just about,nothing else to add,no,just about,nothing further to add
sub003,pilot_1,dense_right,no,tried to look at both and see which was most similar in the elements of the shape,yes,no,no,yes,no
sub004,pilot_1,dense_left,No it was very clear and well explained,"Based on intuition, it was very hard to differentiate",Completely,"Maybe give a few seconds between the trials, like a countdown prior to the object being displayed","Similar to previous, all was clear and explained well.",Yes,"Maybe give a few seconds between the trials, like a countdown prior to the object being displayed"
sub005,pilot_1,dense_right,"No, everything was very clear",I tried to identify the object that had similar features: such as a pointy corner or long and curved sides,"Yes, it was the right amount of time",-,The instructions were easy to understand,"yes, I did",-
sub006,pilot_1,dense_left,no,by how they looks,yes,no,no,yes,no
sub007,pilot_1,dense_left,No,I chose based on instinct.,No I felt quite rushed.,No,No,Yes I felt I had enough time to make my response.,No
sub008,pilot_1,dense_right,no,based on size and degree of shaded part,yes,none,no,yes,none
sub009,pilot_1,dense_left,no,by the sharpness of the angles,yes,no,no,yes,no
sub010,pilot_1,dense_right,No,I mainly stared at the middle item and used my peripheral vision to make the choice,Yes,No,No,Yes,No
sub011,pilot_1,dense_left,No,Based on the shape of the base and shadow of the funnel,Yes,N/A,No,Yes,N/A
sub012,pilot_1,dense_right,none,by the point of the shape,yes,none,"point pf shape and shadow, where its placed on the screen",yes,no
sub013,pilot_1,dense_right,"No, the instructions were easy to understand.",I initially looked at the shape of the bird and picked which was closest in terms of round or straight lines.,"Yes, the length of time seemed exactly right to respond with instinct.","I really liked that at the end of each task, my competency was displayed.","No, the instructions were easy to understand particularly since it used the same keyboard letters.","Yes, the length of time seemed just right to be able to answer with my gut reaction. ","Again, I liked that my competency was displayed at the end of each trial. I felt that the length of each trial was just right, any longer and I worry I would have become distracted."
sub014,pilot_1,dense_left,no,"the border, rounded or straight",yes,very interesting game,no,yes,no
sub015,pilot_1,dense_right,no all clearly laid explained,shape,yes,no,no,yes,no
sub016,pilot_1,dense_left,How if the left and the right are exactly the same with the target?,Looking at the base,yes,No,No,Yes,No
sub017,pilot_2,dense_left,no,depending on the edges of the base and the shape size of it.,yes,no,no,yes,no
sub018,pilot_2,dense_left,No it was pretty clear. ,I judged by the size and how close of a similarity of the shape's curvature. ,Just about enough time to make a choice.,None.,It was clear until the experiment started. How was I to compare the first shape shown? Getting used to the 2nd experiment took me a few miss trials. There should have been a trial part before starting the experiment like in the first task. ,Yes.,None.
sub019,pilot_2,dense_left,no,just by watching them,no,none,no,no,none
sub020,pilot_2,dense_left,No,By looking at the bottom shading and overall shape,yes,n/a,No,I missed 1,N/A
sub021,pilot_2,dense_right,no,"size, shape, concavity/convexity of edges.  also shape os shadow ",yes,no,no,yes,no
sub022,pilot_2,dense_left,no,I just compared the objects,yes,no,no,yes,no
sub023,pilot_2,dense_right,No,By deciding if the middle object was more round or triangular and then comparing to the others ,Yes,No,No,Yes,No
sub024,pilot_2,dense_right,"No, very simple and easy to understand",Looked if the sides were more straight or curved,yes,No,No also very easy to understand,yes,No
sub025,pilot_2,dense_left,"Nothing unclear, but the 3rd set of trials (2nd similarity?) seemed to start with little preamble - I was expecting instructions again (or perhaps I missed them!)",I was looking at convex or concave edges,"mostly, yes",no,No,"Mostly, yes",no
sub026,pilot_2,dense_left,No everything was very clear.,"Based on the sides and the curvature, so it was coming out or going in.",yes,n/a,Everything was clear,yes,n/a
sub027,pilot_2,dense_right,No,How fat/thin or pointy they were,Yes,No,Yes - a practice session would have been helpful,Yes,no
sub028,pilot_2,dense_right,No,Shape and size,"Not always, especially at the beginning of the assignment",No,No,Not always,No
sub029,pilot_2,dense_left,no,i just went with my instinct when i first looked ,yes,no ,no,yes,it would have been good to use different keys to the ones before as i kept mixing them up
sub030,pilot_2,dense_right,no,"I tired to match the profile of the image, linking the concave shapes etc",yes,no,no,yes,no
sub031,pilot_3,dense_right,it not too clear  if it really at per scion perfect is need.,by edge shape and sometime the 3 d layer,yep,it interesting ,na,yes,nope
sub032,pilot_3,dense_left,No it was all clear,I looked at whether it was convex or concave and then looked at how much it was compared to the middle one.,Yes,N/A,No it was all clear,Most of the time.,N/A
sub033,pilot_3,dense_right,no,By shape and size,"yes,",no,yeah easy to follow,yeah,no
sub034,pilot_3,dense_left,no,"I compared the sides, some were rounded in some rounded out, if they had both the same type of side, some had a different size overall",barely,no,no it was clear,yes,no
sub035,pilot_3,dense_right,None,"I tried to choose based on certain features, such as curved top edge and curved/straight bottom edges.",No,None,None,No,None
sub036,pilot_3,dense_right,Semi-clear,The shadow,sometimes,no,yes,yes,no
sub037,pilot_3,dense_left,no,closer to the originalshape,yes,none,no,yes,none
sub038,pilot_3,dense_left,no,looked at the shape pf the bases ,yes,none,no,ye,none
sub039,pilot_3,dense_right,No,"If the middle was more straight and triangular, I would choose the one closest the a triangle. I sort of looked at it as if the triangles are in different stages of development. So I would just think, would the triangle be closer in transformation to one or the other. ",Yes,No,No,Yes,No
sub040,pilot_3,dense_left,no,just by looking at the image and the gradiant,yes,no,no,yes,no
sub042,pilot_3,dense_left,no,the shape ,yes ,no,no,yes,no
sub043,pilot_3,dense_right,No,I sort of scanned it all at once and went with my 'instincts',Only just!,No,No,Yes,No
sub044,pilot_3,dense_right,No,I looked at the middle one & decided using my peripheral vision to compare the two shapes either side.,Yes,No,No,Yes,I looked at the shading area of the shape towards the end of the trial which saw me have better results.
sub045,pilot_3,dense_right,No it was all clear,"I tried to look for features such as a slight curve, or a rounded side",Some I struggled on,No,No,Sometimes I struggled,no
sub046,pilot_3,dense_right,no,If it had rounded edges usually.,yes,no,no,yes,no
sub047,pilot_3,dense_left,No,Mostly based on predominant shape,Yes,None,No,Yes,Very tough!
sub048,pilot_3,dense_right,nothing,if it was made of clay which shape would require the least manipulation to be the same as the target,yes,no,no,yes,no
sub049,pilot_3,dense_right,no,by taking good look at its shape and curve,yes,no all went well,no,yes,no all went well
sub050,pilot_3,dense_left,All clear!,"It was a bit hard sometimes. I do not know if I had a specific reasoning to choose one object or other. I tried to memorize the different shapes, and respond as quick as possible to them.",All good.,Nothing to add.,"No, all clear.",All good.,Nothing to add.
sub051,pilot_3,dense_left,"No, I understood it all fine!",I tried to judge based on how curvy and pointy each object was and went with the option I thought was most similar to the target object based on a mix of both of these,I did but I missed the first trial a couple of times so maybe more time on the first trial until we get our bearings if possible,"No, I enjoyed this task overall","No, I understood it all fine!",Yes I did,"I enjoyed this task also, well put together and I liked that you asked about technical issues after each one too!"
sub052,pilot_3,dense_right,No,Sharpness of edges,Yes,No,"Slightly unclear from the beginning, but easy to follow once the first one is done",Yes,No
sub053,pilot_3,dense_right,None,Focusing on similarities,Yes,Non,Non,Yes,None
sub054,pilot_3,dense_right,No,Difficult to tell sometimes but normally looking at the front of it,Mostly,No,No,Just about,No
sub055,pilot_3,dense_left,No,I'm not sure...I went with my gut on what fit what...if that makes sense?,Just...yes.,NA,No,Yes,NA
sub056,pilot_3,dense_right,no,"by comparing each one quickly then pressing either q, or P on my keyboard",could have done with a few more seconds on some,no,no,could have done with a few more seconds on some,no
sub057,pilot_3,dense_left,no,by eye ,there was not a lot of time.,no,no,could have done with a bit more time ,no
sub059,pilot_3,dense_left,N/A,I looked at the curve of the edges ,only just,n/a,n/a,yes,n/a
sub060,experiment_1,dense_left,"no, everything clear",intuition; there wasn't enough time to really think about it,sometimes the shape difference was so subtle i started to think and possibly ran out of time - not sure if i pressed the button just in time or if i missed out,none that i can think of,"no, everything clear",yes,none that i can think of
sub061,experiment_1,dense_right,no it was just very ticky,i tried to see which had the closest shado,a second or two more would of been helpful,i was harder then i thought it would be ,no,no,i kept getting muddled on the keys not because i didnt understand which was which but because it was fast paced and i kept tripping up on it 
sub062,experiment_1,dense_right,no it was clear,"I compared angles, looked at the amount of darker area visible, and at the shape of the curve on each object",yes there was sufficient time,It was quite difficult at times as some were very similar,the instructions were clear,yes,Some of the objects were very similar so it was hard to say if they were exactly the same 
sub063,experiment_1,dense_left,no,I looked at the curves and straight lines and tried to match them up with the target object.,yes,no,no,yes,no
sub064,experiment_1,dense_right,"No, the instructions were clear.","I looked at the overall shape to see if there was straight, convex or concave edges and also the form of the shadowed edges.","Yes, I feel I had enough time but I  would have been more accurate with a bit more time.",I was surprised by my accuracy score not being as high as I thought it would be.,"No, the instructions were clear.","Yes, I felt I had ample time.",This felt like an easier task than the similarity task.
sub065,experiment_1,dense_left,no,"follow my intuition, sometimes I focused more on the right hand side edge/shadow",Not for all trials,No,No,Yes,No
sub066,experiment_1,dense_right,Everything was clear.,"Tried to quickly look at the two on the left and the right, comparing the distinguishing features, convex or concave generally.",It depended on the trial. Some where they were all similar it was not quite enough time to compare all three.,No further feedback.,"No, everything was clear.",I think there was enough time in this task.,No further feedback.
sub067,experiment_1,dense_right,Instructions were super clear with a good level of detail,I was judging based on the overall shape and the curves of the object,I felt like i had enough time to respond,"Interesting study, encouraged me to concentrate and compare the shapes thoroughly","Clear instructions, super helpful",I felt like i had enough time to respond without feeling time pressures,N/A
sub068,experiment_1,dense_right,no,i was watching the curves on the items and whether they curved in or out,yes,no,no,yes,no
sub069,experiment_1,dense_left,no,usually by how curvey or straight an object was. sometimes the direction the curve was going,maybe another second would help,no,no,yes,no
sub070,experiment_1,dense_right,None,The closest in terms of shape,yes,None,None,Yes,No
sub071,experiment_1,dense_left,No,Mostly focused on the end - how pointed/rounded it was and the edges (how curved),Yes ,No,No,Yes,None
sub073,experiment_1,dense_left,No,One that looked mostly the same when glancing,Yes,No,No,Yes,No
sub074,experiment_1,dense_right,No,I just looked at the outline and the sides and curves,Yes but i think i was conscious of missing them so i think maybe if i slowed down more i might have got a higher percentage,No. I thought it would be easy judging from the trial. and i thought i could easily get 85 percent plus. It was harder than i thought,No ,Yes,No
sub075,experiment_1,dense_right,no,how curvy the curves are and the shadows,yes,n/a,no,yes,n/a
sub076,experiment_1,dense_right,no,by te look of their corners,yes,no,no,yes,the lentghier the experiment the hader it was for me to distinquish differences
sub077,experiment_1,dense_right,no,looking at the lighter purple triangle,yes,no,no,yes,no
sub078,experiment_1,dense_left,"No, it was all very clear and simple to understand",I tried to look at the shape of the darker edges and assess their similarity.,"Yes, on most occasions I did",No,"Again, all very simple and clear","Yes, enough time most of the time",No
sub079,experiment_1,dense_left,no clear instructions were provided,how closest i felt it was ,yes,n/a,no,yes,n/a
sub080,experiment_1,dense_left,No,I decided which one looked more different and chose the other one,For the most part,No,No,Yes,No
sub081,experiment_1,dense_left,No,I looked for similar shapes in the base,I would have preferred more time to be sure of my decision,No,No,I tried to remember the shape of the left section of the base,No
sub082,experiment_1,dense_left,no,shape/curvature and depth of shape that could be seen ,yes,no,no,yes,no
sub083,experiment_1,dense_left,it was clear,tried to look for the shape which looked most like it,most of the time but sometimes could have done with more time,nope,i found it clear,i could have done with a bit more time of a few of them which looked similar to one another,nope
sub084,experiment_1,dense_left,no,no,yes,no,no,yes,no
sub085,experiment_1,dense_right,No,Mainly just instinct,Barely,no,No,Yes,no
sub086,experiment_1,dense_right,"No, I just felt very uneasy and had too much energy to keep my focus on the task at times.","I used the curves on the objects, and the shapes of them.","Yes and no, some were quite difficult.",No,No,"Yes and no, some were difficult.",No
sub087,experiment_1,dense_left,"No, not at all.",going through the object's shape ,"Yes, I did.",na,"No, not at all.","Yes, I did.",na
sub089,experiment_1,dense_left,no,based on shape,yes,no,no,yes,no
sub090,experiment_1,dense_left,"No, all clear.","I glanced from the centre to right, centre to left and then made a judgement. Can't say exactly what I was looking for, though!",Not with accuracy.,N/A,"No, all clear.","Not with accuracy, hence missing a couple.",N/A
sub091,experiment_1,dense_left,no,which was most similar to me,sometimes difficult to see the most similar in time given,no,no,yes,sometimes difficult to see if they were curved/straight edges in the time
sub092,experiment_1,dense_left,"no, it was very clear on what to do.",I studied if the object shape was more sharp or had rounder edges to determine if they were similar. If one other was sharp like the target i would say it was the same.,"yes, plenty of time.",no,"no, the instructions were quite clear.","Yes, i had plenty of time.",no
sub093,experiment_1,dense_right,No,"Judging the shape, if it was more similar","Mostly, yes. Could have done with more time.",No,No,"Mostly, yes, but could have done with more time.",No
sub094,experiment_1,dense_right,no,i looked at the shape and its shadow,yes,none,the first trial was confusing but after I got hang of it.,yes,none
sub095,experiment_1,dense_right,no,looking at the shape,yes plenty,no,no,focus on the 3D shape,no
sub096,experiment_1,dense_left,no,just tried to look at it quickly and judge which was the same,just about,no,no,could have perhaps done with a bit longer,no
sub097,experiment_1,dense_left,no,"chose whichever looked most similar in terms of the curve, size etc",yes,n/a,no,yes,n/a
sub098,experiment_1,dense_right,I found the instructions clear,based on if it was triangular and if the side dipped in or pushed out,yes,nothing,instructions were clear,yes,nothing
sub099,experiment_1,dense_right,Nothing,I chose which ones looked closest in shape or would need the fewest tweaks to be identical,Mostly yes but could have done with an extra second on each,None,Nothing,Yes,None
sub100,experiment_1,dense_left,no,i tried to follow the shape lines as best I could,yes,the pictures did not load a lot of the time making it impossible for me to do well.,no,yes,the pictures did not load a lot of the time making it impossible for me to do well.
sub101,experiment_1,dense_left,no,i tried to focus on the shape made by the shaded faces,yes,nothing to add,no,yes,nothing to add
sub102,experiment_1,dense_left,all fine,"I tried to match them up as closely as I could, with a similar amount of edge curvature.","yes, just about",some of them were quite tricky!,all fine,another second would have been useful.,very tricky!
sub103,experiment_1,dense_right,No all good,curve and circumference,no,no,no all good,yes,no
sub104,experiment_1,dense_right,no,looking at their curves,I guess so but more time would have been better,nothing,yes,yes,nothing 
sub105,experiment_1,dense_right,no,depending on the more rounded or sharp shape,no,noo,no,no,no
sub106,experiment_1,dense_left,no,no,yes,was ok,no,yes,was quite ok
sub107,experiment_1,dense_right,Everything was clear,I began looking to the lower right hand angle to determine the overall shape,Would have liked a little more time for each trial ,N/A,Everything was clear,Would have liked perhaps a second more per trial ,N//A
sub108,experiment_1,dense_left,No,I looked at the edges,"Yes, too much in most cases",No,No,"Yes, too long, in fact",No
sub109,experiment_1,dense_right,no everything was clear,i looked closely and made a decision based on shape,yes i did,i found it very interesting thank you,no everything was clear,yes i did,none thanks
sub110,experiment_1,dense_right,no,From consideration,Yes,None,No,Yes,None
