which_experiment,counterbalancing,prolific_id,page_index,viewing_time
pilot_1,dense_right,sub001,0,3803.699999988079
pilot_1,dense_right,sub001,1,142479.0
pilot_1,dense_right,sub001,2,11537.5
pilot_1,dense_left,sub002,0,3049.7000000029802
pilot_1,dense_left,sub002,1,234695.20000000298
pilot_1,dense_left,sub002,2,2272.39999999851
pilot_1,dense_right,sub003,0,4470.0
pilot_1,dense_right,sub003,1,41418.39999985695
pilot_1,dense_right,sub003,2,13222.900000095367
pilot_1,dense_left,sub004,0,2721.2999999523163
pilot_1,dense_left,sub004,1,43307.800000071526
pilot_1,dense_left,sub004,2,5101.799999952316
pilot_1,dense_right,sub005,0,8274.399999856949
pilot_1,dense_right,sub005,1,32705.0
pilot_1,dense_right,sub005,2,10471.700000047684
pilot_1,dense_left,sub007,0,6700.0
pilot_1,dense_left,sub007,1,116913.69999998808
pilot_1,dense_left,sub007,2,15103.5
pilot_1,dense_left,sub008,0,4525.800000011921
pilot_1,dense_left,sub008,1,62183.59999996424
pilot_1,dense_left,sub008,2,10616.600000023842
pilot_1,dense_right,sub009,0,2983.5
pilot_1,dense_right,sub009,1,30054.90000000596
pilot_1,dense_right,sub009,2,13153.5
pilot_1,dense_left,sub010,0,14937.10000000149
pilot_1,dense_left,sub010,1,48324.89999999851
pilot_1,dense_left,sub010,2,14241.5
pilot_1,dense_right,sub011,0,3184.0999999996275
pilot_1,dense_right,sub011,1,29976.0
pilot_1,dense_right,sub011,2,16423.900000000373
pilot_1,dense_left,sub012,0,10821.900000000373
pilot_1,dense_left,sub012,1,55334.09999999963
pilot_1,dense_left,sub012,2,10999.800000000745
pilot_1,dense_right,sub013,0,3140.5
pilot_1,dense_right,sub013,1,39913.0
pilot_1,dense_right,sub013,2,5622.899999976158
pilot_1,dense_right,sub015,0,3164.9000000953674
pilot_1,dense_right,sub015,1,30337.799999952316
pilot_1,dense_right,sub015,2,9886.0
pilot_1,dense_left,sub016,0,4905.10000000149
pilot_1,dense_left,sub016,1,36408.199999999255
pilot_1,dense_left,sub016,2,2042.9000000003725
pilot_1,dense_right,sub017,0,1608.6000000238419
