prolific_id,qc_fail_button_sequence,qc_fail_missing_trials,qc_fail_break_duration,qc_fail_rt,qc_fail_manual,qc_fail_easy_triplets,qc_fail_overall,which_experiment,counterbalancing,batch_id
sub001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_right,
sub002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_left,
sub003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_right,
sub004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_left,
sub005,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pilot_1,dense_right,
sub006,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,pilot_1,dense_left,
sub007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_left,
sub008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_right,
sub009,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_1,dense_left,
sub010,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pilot_1,dense_right,
sub011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_left,
sub012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_1,dense_right,
sub013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_right,
sub014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_left,
sub015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_1,dense_right,
sub016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_1,dense_left,
sub017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_right,
sub022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_right,
sub024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_right,
sub025,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub027,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_right,
sub028,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_2,dense_right,
sub029,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pilot_2,dense_left,
sub030,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,pilot_2,dense_right,
sub031,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub033,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub034,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub038,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub040,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub042,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub043,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub045,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub046,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pilot_3,dense_right,
sub047,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub049,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,pilot_3,dense_right,
sub050,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,pilot_3,dense_left,
sub051,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub052,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,pilot_3,dense_right,
sub053,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub054,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_right,
sub057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pilot_3,dense_left,
sub060,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,experiment_1,dense_left,1
sub061,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,experiment_1,dense_right,1
